pan,tilt,voltage
66.0,47.0,0.7038123167155426
66.0,48.0,0.6647116324535679
66.0,49.0,0.7331378299120235
66.0,50.0,0.7038123167155426
66.0,51.0,0.7086999022482894
66.0,52.0,0.6598240469208211
66.0,53.0,0.6256109481915934
66.0,54.0,0.6598240469208211
66.0,55.0,0.6842619745845552
66.0,56.0,0.7038123167155426
66.0,57.0,0.6842619745845552
66.0,58.0,0.7331378299120235
66.0,59.0,0.7038123167155426
66.0,60.0,0.6647116324535679
66.0,61.0,0.6598240469208211
66.0,62.0,0.6842619745845552
66.0,63.0,0.6842619745845552
66.0,64.0,0.7038123167155426
66.0,65.0,0.7038123167155426
66.0,66.0,0.7086999022482894
66.0,67.0,0.6647116324535679
66.0,68.0,0.6647116324535679
66.0,69.0,0.7038123167155426
66.0,70.0,0.7282502443792767
66.0,71.0,0.7282502443792767
66.0,72.0,0.7282502443792767
66.0,73.0,0.7233626588465298
66.0,74.0,0.7086999022482894
66.0,75.0,0.7086999022482894
66.0,76.0,0.7038123167155426
66.0,77.0,0.7038123167155426
66.0,78.0,0.7233626588465298
66.0,79.0,0.7331378299120235
66.0,80.0,0.6647116324535679
66.0,81.0,0.7282502443792767
66.0,82.0,0.6647116324535679
66.0,83.0,0.7331378299120235
66.0,84.0,0.6647116324535679
66.0,85.0,0.7038123167155426
66.0,86.0,0.7038123167155426
66.0,87.0,0.6451612903225806
66.0,88.0,0.7086999022482894
66.0,89.0,0.6647116324535679
66.0,90.0,0.6647116324535679
66.0,91.0,0.6647116324535679
66.0,92.0,0.7331378299120235
66.0,93.0,0.7038123167155426
66.0,94.0,0.7038123167155426
66.0,95.0,0.6647116324535679
66.0,96.0,0.7331378299120235
66.0,97.0,0.6647116324535679
66.0,98.0,0.635386119257087
66.0,99.0,0.7380254154447703
66.0,100.0,0.7038123167155426
66.0,101.0,0.7282502443792767
66.0,102.0,0.6647116324535679
66.0,103.0,0.7233626588465298
66.0,104.0,0.6451612903225806
66.0,105.0,0.7086999022482894
66.0,106.0,0.6647116324535679
66.0,107.0,0.7038123167155426
66.0,108.0,0.6451612903225806
66.0,109.0,0.7086999022482894
66.0,110.0,0.6451612903225806
66.0,111.0,0.6256109481915934
66.0,112.0,0.6256109481915934
66.0,113.0,0.6842619745845552
66.0,114.0,0.6256109481915934
66.0,115.0,0.6451612903225806
66.0,116.0,0.6549364613880743
67.0,47.0,0.6256109481915934
67.0,48.0,0.6647116324535679
67.0,49.0,0.7086999022482894
67.0,50.0,0.6647116324535679
67.0,51.0,0.8455522971652004
67.0,52.0,0.6598240469208211
67.0,53.0,0.6256109481915934
67.0,54.0,0.6256109481915934
67.0,55.0,0.6451612903225806
67.0,56.0,0.7038123167155426
67.0,57.0,0.6451612903225806
67.0,58.0,0.7086999022482894
67.0,59.0,0.7038123167155426
67.0,60.0,0.6647116324535679
67.0,61.0,0.6842619745845552
67.0,62.0,0.7869012707722385
67.0,63.0,0.6451612903225806
67.0,64.0,0.6842619745845552
67.0,65.0,0.6256109481915934
67.0,66.0,0.6842619745845552
67.0,67.0,0.6256109481915934
67.0,68.0,0.7282502443792767
67.0,69.0,0.7282502443792767
67.0,70.0,0.7282502443792767
67.0,71.0,0.7282502443792767
67.0,72.0,0.7038123167155426
67.0,73.0,0.7038123167155426
67.0,74.0,0.7233626588465298
67.0,75.0,0.7331378299120235
67.0,76.0,0.6647116324535679
67.0,77.0,0.7038123167155426
67.0,78.0,0.7038123167155426
67.0,79.0,0.7282502443792767
67.0,80.0,0.6647116324535679
67.0,81.0,0.6647116324535679
67.0,82.0,0.7038123167155426
67.0,83.0,0.7282502443792767
67.0,84.0,0.7331378299120235
67.0,85.0,0.7282502443792767
67.0,86.0,0.7233626588465298
67.0,87.0,0.6647116324535679
67.0,88.0,0.7282502443792767
67.0,89.0,0.7233626588465298
67.0,90.0,0.7038123167155426
67.0,91.0,0.7038123167155426
67.0,92.0,0.7331378299120235
67.0,93.0,0.7233626588465298
67.0,94.0,0.7038123167155426
67.0,95.0,0.8602150537634409
67.0,96.0,0.7282502443792767
67.0,97.0,0.7282502443792767
67.0,98.0,0.635386119257087
67.0,99.0,0.7038123167155426
67.0,100.0,0.7086999022482894
67.0,101.0,0.7038123167155426
67.0,102.0,0.7282502443792767
67.0,103.0,0.6744868035190615
67.0,104.0,0.7038123167155426
67.0,105.0,0.7086999022482894
67.0,106.0,0.7038123167155426
67.0,107.0,0.6842619745845552
67.0,108.0,0.6451612903225806
67.0,109.0,0.7086999022482894
67.0,110.0,0.8602150537634409
67.0,111.0,0.6647116324535679
67.0,112.0,0.6451612903225806
67.0,113.0,0.6256109481915934
67.0,114.0,0.6598240469208211
67.0,115.0,0.6256109481915934
67.0,116.0,0.6598240469208211
68.0,47.0,0.7038123167155426
68.0,48.0,0.7038123167155426
68.0,49.0,0.6647116324535679
68.0,50.0,0.6842619745845552
68.0,51.0,0.6451612903225806
68.0,52.0,0.6256109481915934
68.0,53.0,0.6842619745845552
68.0,54.0,0.7086999022482894
68.0,55.0,0.6451612903225806
68.0,56.0,0.6647116324535679
68.0,57.0,0.6647116324535679
68.0,58.0,0.7086999022482894
68.0,59.0,0.8602150537634409
68.0,60.0,0.7282502443792767
68.0,61.0,0.635386119257087
68.0,62.0,0.6647116324535679
68.0,63.0,0.6256109481915934
68.0,64.0,0.7038123167155426
68.0,65.0,0.6647116324535679
68.0,66.0,0.6647116324535679
